ID,Vis,Range,Density,Errors,Time
test, Hash, 10, 5, 0, 5.804177
test, Hash, 10, 5, 0, 3.975173
test, Hash, 10, 5, 0, 4.413887
test, Hash, 10, 5, 0, 5.197811
test, Hash, 10, 5, 0, 3.248647
test, Hash, 10, 5, 0, 3.587114
test, Hash, 10, 5, 0, 3.31246
test, Hash, 10, 5, 0, 4.703851
test, Hash, 10, 5, 0, 1.97844
test, Hash, 10, 5, 0, 2.974211
test, Hash, 10, 10, 2, 11.07061
test, Hash, 10, 10, 0, 2.078677
test, Hash, 10, 10, 3, 12.83258
test, Hash, 10, 10, 1, 6.377424
test, Hash, 10, 10, 1, 8.268509
test, Hash, 10, 10, 4, 19.82219
test, Hash, 10, 10, 0, 4.413341
test, Hash, 10, 10, 1, 5.142506
test, Hash, 10, 10, 1, 6.134869
test, Hash, 10, 10, 1, 4.837286
test, Hash, 5, 5, 1, 4.636781
test, Hash, 5, 5, 1, 2.033403
test, Hash, 5, 5, 0, 1.622684
test, Hash, 5, 5, 0, 1.327885
test, Hash, 5, 5, 0, 1.923042
test, Hash, 5, 5, 0, 1.719605
test, Hash, 5, 5, 0, 2.20348
test, Hash, 5, 5, 0, 2.589783
test, Hash, 5, 5, 0, 2.674582
test, Hash, 5, 5, 0, 2.253566
test, Hash, 5, 10, 3, 7.914095
test, Hash, 5, 10, 0, 7.07466
test, Hash, 5, 10, 2, 7.924503
test, Hash, 5, 10, 1, 5.880624
test, Hash, 5, 10, 0, 3.195277
test, Hash, 5, 10, 0, 2.77027
test, Hash, 5, 10, 3, 10.33695
test, Hash, 5, 10, 2, 7.515417
test, Hash, 5, 10, 1, 5.332619
test, Hash, 5, 10, 0, 4.615342
test, Hash, 10, 5, 0, 2.870918
test, Hash, 10, 5, 0, 2.78377
test, Hash, 10, 5, 1, 5.068443
test, Hash, 10, 5, 0, 2.779603
test, Hash, 10, 5, 0, 2.55868
test, Hash, 10, 5, 2, 6.497324
test, Hash, 10, 5, 0, 4.210348
test, Hash, 10, 5, 0, 2.362318
test, Hash, 10, 5, 2, 6.004592
test, Hash, 10, 5, 0, 1.824208
test, Hash, 10, 10, 3, 12.6686
test, Hash, 10, 10, 3, 9.82869
test, Hash, 10, 10, 0, 2.174092
test, Hash, 10, 10, 2, 7.933282
test, Hash, 10, 10, 1, 4.093714
test, Hash, 10, 10, 3, 8.185441
test, Hash, 10, 10, 1, 7.242774
test, Hash, 10, 10, 1, 5.636341
test, Hash, 10, 10, 1, 5.514091
test, Hash, 10, 10, 1, 8.733625
test, Hash, 5, 5, 0, 5.232475
test, Hash, 5, 5, 0, 3.001001
test, Hash, 5, 5, 0, 2.582843
test, Hash, 5, 5, 0, 2.699455
test, Hash, 5, 5, 1, 6.949067
test, Hash, 5, 5, 1, 3.643801
test, Hash, 5, 5, 0, 2.860996
test, Hash, 5, 5, 1, 4.244995
test, Hash, 5, 5, 1, 4.86002
test, Hash, 5, 5, 0, 1.970569
test, Hash, 5, 10, 0, 4.622555
test, Hash, 5, 10, 0, 4.444171
test, Hash, 5, 10, 2, 6.914043
test, Hash, 5, 10, 0, 2.96454
test, Hash, 5, 10, 3, 14.14311
test, Hash, 5, 10, 1, 7.477036
test, Hash, 5, 10, 0, 1.60277
test, Hash, 5, 10, 0, 3.685624
test, Hash, 5, 10, 0, 7.582946
test, Hash, 5, 10, 2, 18.54088
